color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Apartment,1960,Approved,29 Jun 1960,125 min,"Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray","As of November 1, 1959, mild mannered C.C. Baxter has been working at Consolidated Life, an insurance company, for close to four years, and is one of close to thirty-two thousand employees located in their Manhattan head office. To distinguish himself from all the other lowly cogs in the company in the hopes of moving up the corporate ladder, he often works late, but only because he can't get into his apartment, located off of Central Park West, since he has provided it to a handful of company executives - Mssrs. Dobisch, Kirkeby, Vanderhoff and Eichelberger - on a rotating basis for their extramarital liaisons in return for a good word to the personnel director, Jeff D. Sheldrake. When Baxter is called into Sheldrake's office for the first time, he learns that it isn't just to be promoted as he expects, but also to add married Sheldrake to the list to who he will lend his apartment. Dobisch, Kirkeby, Vanderhoff and Eichelberger are now feeling neglected as Baxter no longer needs their assistance in moving up.",English,United States,Won 5 Oscars. 24 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,8.3,"184,358",tt0053604,movie,04 Mar 2008,"$18,600,000",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jason Goes to Hell: The Final Friday,1993,R,13 Aug 1993,87 min,"Fantasy, Horror, Thriller",Adam Marcus,"Jay Huguely, Adam Marcus, Dean Lorey","John D. LeMay, Kari Keegan, Kane Hodder",The secret of Jason's evil is revealed. It is up to the last remaining descendant of the Voorhees family to stop Jason before he becomes immortal and unstoppable. This is the final (?) battle to end Jason's reign of terror forever.,English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMGUxZGViMDktOWM5OS00MTlmLTkzZTYtZWJmZGEzNjg1M2ZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '17/100'}]",17,4.1,"34,135",tt0107254,movie,08 Oct 2002,"$15,935,068",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torn Curtain,1966,PG,27 Jul 1966,128 min,"Drama, Romance, Thriller",Alfred Hitchcock,"Brian Moore, Willis Hall, Keith Waterhouse","Paul Newman, Julie Andrews, Lila Kedrova","Professor Michael Armstrong (Paul Newman) is heading to Copenhagen, Denmark to attend a physics conference accompanied by his assistant and fiancée Sarah Sherman (Dame Julie Andrews). Once arrived however, Michael informs her that he may be staying for awhile and she should return home. She follows him and realizes he's actually heading to East Germany, behind the Iron Curtain. She follows him there and is shocked when he announces that he's defecting to the East after the U.S. government cancelled his research project. In fact, Michael is there to obtain information from a renowned East German scientist. Once the information is obtained, he and Sarah now have to make their way back to the West.","English, German, Swedish, Norwegian, Danish, French",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BNTYwODI4NjcwOV5BMl5BanBnXkFtZTgwMzU0OTk5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.6,"27,922",tt0061107,movie,04 Oct 2005,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave Chappelle's Block Party,2005,R,03 Mar 2006,103 min,"Documentary, Comedy, Music",Michel Gondry,Dave Chappelle,"Dave Chappelle, Yasiin Bey, Lauryn Hill","Dave Chappelle presents a Brooklyn neighborhood with its very own once-in-a-lifetime free block party. In addition to Chappelle, the roster of artists includes Kanye West, Mos Def, Talib Kweli, Common, Dead Prez, Erykah Badu, Jill Scott, the Roots, Cody ChesnuTT, Big Daddy Kane, and - reunited for their first performance in over seven years - the Fugees. Includes private rehearsals footage and Chappelle in the small Ohio town he calls home, where he wanders through town handing out golden tickets to invite several dozen citizens to join the party, providing transportation and lodging for their visit to Brooklyn. Ohio's Central State University marching band makes the trip and kicks off the festivities at the intersection of Quincy and Downing Streets. A diverse crowd and Chappelle's freestyle wit guides them (and us) through a celebration of music and comedy, history and community.",English,United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMGQ1MGU2YjMtMTBiNC00ZGM2LTg3MzEtYWNmYWE0YzhhZmQ1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.2,"9,428",tt0425598,movie,13 Jun 2006,"$11,718,595",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow West,2015,R,16 Apr 2015,84 min,"Action, Adventure, Drama",John Maclean,John Maclean,"Kodi Smit-McPhee, Caren Pistorius, Aorere Paki","'Slow West' follows a 16-year-old boy on a journey across 19th Century frontier America in search of the woman he loves, while accompanied by mysterious traveler Silas.","English, French","United Kingdom, New Zealand",7 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BNTYxNDA5ODk5NF5BMl5BanBnXkFtZTgwNzMwMzIwNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.9,"46,382",tt3205376,movie,07 Jul 2015,"$229,094",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krush Groove,1985,R,25 Oct 1985,97 min,"Comedy, Drama, Music",Michael Schultz,Ralph Farquhar,"Sheila E., Joseph Simmons, Darryl McDaniels","In this movie based on the early days of Def Jam Recordings, up-and-coming manager Russell Walker manages all the hottest acts on the record label Krush Groove Records, which include Run-D.M.C., Dr. Jekyll &amp; Mr. Hyde, and Kurtis Blow, while Rick (Rubin) produces the label's records. When Run-D.M.C. has a hit record and Russell doesn't have the money to press records, he borrows money from a street hustler. At the same time, Russell and and his brother Run both compete for the heart of R&amp;B singer Sheila E.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BM2U4ZmNhMjEtZDhhYi00MmY5LWEyYzItYmM0NTZiNTIwZDY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.4,"3,333",tt0089444,movie,14 Jan 2003,"$11,052,713",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Next Day Air,2009,R,08 May 2009,84 min,"Action, Comedy, Crime",Benny Boom,Blair Cobbs,"Yasiin Bey, Mike Epps, Donald Faison","When a misguided delivery driver inadvertently delivers a package containing concealed bricks of cocaine to the wrong address, it sets in motion a desperate search and battle for the coke between the furious dealer that sent it, the fearful intended recipients that missed it, and the conniving accidental recipients that plan to flip it. Time is running out and everyone's trying to get their hands on the package that's been sent...Next Day Air!","English, French",United States,N/A,https://m.media-amazon.com/images/M/MV5BNmFjMTVjZGItMzc3Yy00ZGFhLWIxYmMtMmI1YTEyMjY1ZDQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.7,"10,851",tt1097013,movie,15 Sep 2009,"$10,027,047",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elmer Gantry,1960,Approved,26 Aug 1960,146 min,Drama,Richard Brooks,"Richard Brooks, Sinclair Lewis","Burt Lancaster, Jean Simmons, Arthur Kennedy","Elmer Gantry is a fast-talking, hard-drinking traveling salesman who always has a risqué story and a hip flask to entertain cronies and customers alike. He is immediately taken with Sister Sharon Falconer, a lay preacher whose hellfire-and-damnation revivalism has attracted quite a following. Gantry uses his own quick wit and Bible knowledge to become an indispensable part of Sister Sharon's roadshow, but his past soon catches up with him in the form of Lulu Bains, now a prostitute. While Gantry seeks and eventually gets forgiveness from Sharon, tragedy strikes when she finally manages to get out of her revivalist tent and opens a permanent church.",English,United States,Won 3 Oscars. 11 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjI3NjIzMDA4NV5BMl5BanBnXkFtZTcwMzg4NTczNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,7.7,"12,111",tt0053793,movie,06 Mar 2001,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judgment at Nuremberg,1961,Approved,18 Dec 1961,179 min,"Drama, War",Stanley Kramer,"Abby Mann, Montgomery Clift","Spencer Tracy, Burt Lancaster, Richard Widmark","It has been three years since the most important Nazi leaders had already been tried. This trial is about 4 judges who used their offices to conduct Nazi sterilization and cleansing policies. Retired American judge, Dan Haywood has a daunting task ahead of him. The Cold War is heating up and no one wants any more trials as Germany, and Allied governments, want to forget the past. But is that the right thing to do is the question that the tribunal must decide.","English, German",United States,Won 2 Oscars. 16 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,8.3,"79,165",tt0055031,movie,14 Sep 2004,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trippin',1999,R,12 May 1999,94 min,Comedy,David Raynr,Gary Hardwick,"Deon Richmond, Donald Faison, Guy Torry","Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being a big success as a poet, a student, a lover. His mom wants him to apply to colleges, but Greg hasn't a clue. One of his teachers, Mr. Shapic, tries to inspire him, too. He finally figures out he can get close to Cinny if he asks her for help with college applications. But friendship isn't enough, he wants romance and a prom date. So, he tells a few lies and, for awhile, it seems to be working. Then, things fall apart and Greg has to figure out how to put the trippin aside and get real.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWYzZTAzMTgtYzFmZC00NmIwLTg4MWEtNjE1ZjFjNThjOTUyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",N/A,5.3,"1,359",tt0160298,movie,30 Sep 2003,"$9,017,070","Rogue Pictures, October Films",N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robot Chicken,2001–,TV-14,01 Jan 2001,1 min,"Animation, Short, Adventure",N/A,"Seth Green, Matthew Senreich, Mike Fasolo","Seth Green, Matthew Senreich, Breckin Meyer",Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,English,United States,Won 6 Primetime Emmys. 11 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BY2I0MjFhNmUtMzI4OS00ODI0LWExZGItMTdjNDExM2YwOGJmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"44,312",tt0437745,series,,,,,True,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red River,1948,Passed,17 Sep 1948,133 min,"Drama, Western","Howard Hawks, Arthur Rosson","Borden Chase, Charles Schnee","John Wayne, Montgomery Clift, Joanne Dru","Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.","English, Spanish",United States,Nominated for 2 Oscars. 4 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2NDA3NTQ2OF5BMl5BanBnXkFtZTcwODUzNzU2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.8,"32,297",tt0040724,movie,01 Aug 2006,N/A,"MGM/UA Home Entertainment Inc., United Artists",N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phat Girlz,2006,PG-13,07 Apr 2006,99 min,Comedy,Nnegest Likké,Nnegest Likké,"Mo'Nique, Kendra C. Johnson, Jimmy Jean-Louis","Superstar comedienne Mo'Nique is hilarious as a sassy, plus-sized fashion designer who's tired of taking no for an answer in this delightful comedy about living life to the fullest. Jazmin Biltmore (Mo'Nique) has big plans for large ladies: she's designed a sexy line of clothes for curvaceous women like herself. But when she can't get funding for her designs or meet a man who appreciates her unique physique, Jazmin's patience runs thin. That is, until she wins an all-expenses-paid trip to a resort in Palm Springs, where she just might just meet the man of her dreams.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTQxMDA1MmQtZTJjMy00M2Q3LThjMjAtMjUwNzBkMDg3YzFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,3.3,"9,150",tt0490196,movie,22 Aug 2006,"$7,061,128",Fox,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Before Midnight,2013,R,14 Jun 2013,109 min,"Drama, Romance",Richard Linklater,"Richard Linklater, Julie Delpy, Ethan Hawke","Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick","It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.","English, Greek, French","United States, Greece",Nominated for 1 Oscar. 20 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMjA5NzgxODE2NF5BMl5BanBnXkFtZTcwNTI1NTI0OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,7.9,"162,613",tt2209418,movie,22 Oct 2013,"$8,114,627",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teen Wolf Too,1987,PG,20 Nov 1987,95 min,"Comedy, Fantasy",Christopher Leitch,"Jeph Loeb, Matthew Weisman, Tim Kring","Jason Bateman, Kim Darby, John Astin","After Scott Howard's hairy adventure in Teen Wolf (1985), his equally unpopular and unathletic cousin, Todd, receives a college boxing scholarship and gets accepted into Hamilton University. Before long, the family's lupine gene finally comes out, and just like that, the once-feeble student becomes a celebrity and the school's champion, catching the eye of the college's pretty girls. Now, there's no turning back, and success is guaranteed; however, being a teenage werewolf has its price. Will the famous and self-assured teen wolf see the error of his ways? Is Todd willing to accept responsibility for his actions, and put his superhuman power to good use?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWQxNGRhYjctNGI3Yi00NjQ5LTk0MWYtNTNkODZhYmEyZTdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '8/100'}]",8,3.4,"12,015",tt0094118,movie,05 Sep 2006,"$7,888,703",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phantasm II,1988,R,08 Jul 1988,97 min,"Action, Fantasy, Horror",Don Coscarelli,Don Coscarelli,"James Le Gros, Reggie Bannister, Angus Scrimm","Mike is released from psychiatry, when he agrees with the doctors that the terrible happenings in his past were just in his imagination. But once he's free, he contacts Redge and they team up to hunt down and eliminate the ""Tall Man"", who plunders the graveyards and steals the corpses with help of his terrible dwarfs. A beautiful strange girl starts to appear in Mike's dreams. He assumes she's in danger and needs their help - will they find her before the Tall Man can do her any harm?",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BNjQyYWVjZjEtNjc3MC00Zjg4LTkxZDctZTc0MGE2MzJjODM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.4,"15,796",tt0095863,movie,07 Sep 2010,"$7,282,851",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman Thou Art Loosed,2004,R,22 Oct 2004,94 min,Drama,Michael Schultz,"T.D. Jakes, Stan Foster, Christine Swanson","Kimberly Elise, T.D. Jakes, Michael Boatman","An adaptation of Bishop T.D. Jakes' self-help novel, chronciling a woman's struggle to come to terms with her legacy of abuse, addiction and poverty.",English,United States,5 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTA3MTk4NjQ0MjReQTJeQWpwZ15BbWU2MDQyMzc3Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.6,984,tt0399901,movie,11 Oct 2005,"$6,879,730",Magnolia Films,N/A,True,,
